order_id,store_id,business_day,daypart,service_mode,menu_item,menu_modifier,unit_quantity,unit_price,unit_discount,tax,total_amount,payment_type
(120223,101,'2025-05-18','Lunch','Dine-In','Soft Drink (Medium),','Oat Milk',1,1.61,0.23,0.18,2.26,'Card'),
(120224,401,'2025-04-11','Afternoon','Dine-In','French Fries','None',1,2.51,0,0.24,2.75,'Card'),
(120225,401,'2025-08-07','Lunch','Takeout','Chicken Sandwich Combo','Spicy',1,9.53,0,0.76,10.29,'Cash'),
(120226,402,'2025-04-26','Lunch','Takeout','Veggie Burger','Add Jalapenos',1,5.26,0,0.42,6.08,'Card'),
(120227,101,'2025-05-30','Lunch','Dine-In','Chicken Sandwich Combo','Gluten-Free Bun',1,8.45,0,0.76,10.21,'Cash'),
(120228,501,'2025-07-16','Dinner','Drive-Thru','French Fries','None',1,2.44,0.13,0.19,2.75,'MobilePay'),
(120229,201,'2025-05-22','Breakfast','Takeout','Pancake Platter','None',1,5.22,0,0.42,5.64,'Card'),
(120230,401,'2025-06-24','Morning','Takeout','Bottled Water','Sugar-Free Syrup',1,1.38,0,0.11,1.79,'Card'),
(120231,102,'2025-04-17','Dinner','Delivery','Chicken Sandwich Combo','Add Bacon',2,9.1,0,1.92,22.12,'MobilePay'),
(120232,501,'2025-07-03','Dinner','Takeout','Cheeseburger Combo','None',2,8.51,0,1.19,18.21,'Card'),
(120233,103,'2025-06-09','Dinner','Drive-Thru','Spicy Chicken Sandwich','None',1,5.39,0,0.43,5.82,'Card'),
(120234,102,'2025-06-04','Dinner','Dine-In','Chicken Sandwich','No Sauce',1,6.18,0,0.4,6.58,'Card'),
(120235,301,'2025-06-09','Lunch','Dine-In','Cheeseburger','None',1,4.7,0,0.38,5.08,'Card'),
(120236,102,'2025-06-09','Lunch','Dine-In','Cheeseburger','None',1,3.81,0,0.36,4.17,'MobilePay'),
(120237,401,'2025-05-29','Afternoon','Delivery','French Fries','None',1,2.69,0,0.24,2.93,'Card'),
(120238,103,'2025-06-05','Afternoon','Delivery','Iced Tea','None',1,1.8,0,0.11,1.91,'MobilePay'),
(120239,102,'2025-04-16','Breakfast','Drive-Thru','Coffee','None',1,2.06,0,0.2,2.26,'Card'),
(120240,301,'2025-05-12','Dinner','Takeout','Veggie Burger','Spicy',1,4.96,0,0.45,5.41,'Cash'),
(120241,202,'2025-05-11','Morning','Dine-In','Hash Browns','Sausage Patty',1,1.87,0,0.26,3.33,'Card'),
(120242,202,'2025-06-20','Late Night','Drive-Thru','Spicy Chicken Sandwich','Gluten-Free Bun',3,5.83,0,1.74,22.23,'Card'),
(120243,103,'2025-06-05','Breakfast','Drive-Thru','Coffee','None',1,2.06,0,0.13,2.19,'Cash'),
(120244,301,'2025-08-05','Breakfast','Drive-Thru','Breakfast Burrito','Extra Egg',2,3.44,0,0.8,9.68,'Cash'),
(120245,101,'2025-06-05','Dinner','Delivery','Spicy Chicken Combo','None',1,9.12,0,0.78,9.9,'Card'),
(120246,102,'2025-05-31','Dinner','Delivery','Veggie Burger','Add Bacon',1,5.07,0,0.52,6.59,'Card'),
(120247,202,'2025-07-26','Lunch','Drive-Thru','Spicy Chicken Combo','None',1,8.96,0,0.72,9.68,'Card'),
(120248,102,'2025-06-22','Morning','Dine-In','Chicken Nuggets (6pc),','None',1,4.18,0,0.3,4.48,'Card'),
(120249,103,'2025-06-25','Lunch','Dine-In','Spicy Chicken Combo','None',1,9.49,0,0.69,10.18,'MobilePay'),
(120250,103,'2025-07-25','Dinner','Takeout','French Fries','Extra Sauce',1,2.28,0,0.19,2.72,'Card'),
(120251,501,'2025-06-03','Breakfast','Dine-In','Latte','Sugar-Free Syrup',3,3.47,0,1.02,12.33,'Not Registered'),
(120252,301,'2025-07-07','Afternoon','Dine-In','Iced Tea','Sugar-Free Syrup',1,2.17,0,0.2,2.67,'Card'),
(120253,201,'2025-05-09','Dinner','Delivery','Chicken Sandwich','None',1,5.77,1.15,0.42,5.04,'MobilePay'),
(120254,402,'2025-05-30','Lunch','Delivery','French Fries','Large Size',1,2.21,0,0.22,3.03,'Card'),
(120255,301,'2025-05-24','Dinner','Delivery','Iced Tea','None',1,1.83,0,0.16,1.99,'Card'),
(120256,103,'2025-04-13','Afternoon','Takeout','Ice Cream Cone','None',1,1.79,0,0.13,1.92,'Card'),
(120257,301,'2025-06-04','Dinner','Dine-In','Spicy Chicken Combo','None',2,8.94,0,1.16,19.04,'Card'),
(120258,101,'2025-06-20','Breakfast','Dine-In','Egg Muffin','Cinnamon',1,3.35,0,0.26,3.71,'Cash'),
(120259,301,'2025-06-29','Dinner','Delivery','Cheeseburger Combo','None',1,8.88,0,0.8,9.68,'Card'),
(120260,202,'2025-06-09','Dinner','Takeout','Spicy Chicken Sandwich','None',1,5.28,0,0,0,'Card'),
(120261,101,'2025-04-29','Dinner','Drive-Thru','Chicken Sandwich','Extra Sauce',1,5.37,0,0.48,6.1,'Card'),
(120262,501,'2025-05-14','Dinner','Drive-Thru','Cheeseburger Combo','None',1,6.99,0,0.63,7.62,'Cash'),
(120263,101,'2025-08-07','Late Night','Takeout','Onion Rings','None',1,2.85,0,0.23,3.08,'Cash'),
(120264,101,'2025-04-24','Lunch','Drive-Thru','Cheeseburger Combo','None',2,8.36,0,1,17.72,'Card'),
(120265,101,'2025-05-07','Morning','Drive-Thru','Egg Muffin','None',1,2.93,0,0.18,3.11,'Card'),
(120266,301,'2025-04-21','Dinner','Delivery','Chicken Sandwich','None',1,5.99,0,0.36,6.35,'Card'),
(120267,102,'2025-06-07','Morning','Takeout','Egg Muffin','None',1,2.88,0,0.27,3.15,'GiftCard'),
(120268,301,'2025-06-14','Dinner','Takeout','Spicy Chicken Sandwich','None',1,5.47,0,0.52,5.99,'Cash'),
(120269,202,'2025-05-25','Dinner','Dine-In','Spicy Chicken Sandwich','No Pickles',1,5.69,0,0.4,6.09,'Card'),
(120270,102,'2025-06-02','Afternoon','Delivery','Chicken Nuggets (10pc),','None',1,5.47,0,0.36,5.83,'MobilePay'),
(120271,201,'2025-07-16','Breakfast','Drive-Thru','Breakfast Burrito','None',1,3.38,0,0.3,4.88,'Card'),
(120272,402,'2025-08-02','Dinner','Drive-Thru','Veggie Burger','None',1,5.65,0.28,0.4,5.77,'Card'),
(120273,401,'2025-06-03','Morning','Drive-Thru','Soft Drink (Medium),','Almond Milk',1,1.74,0,0.21,2.65,'Card'),
(120274,103,'2025-05-25','Lunch','Drive-Thru','Iced Tea','Sugar-Free Syrup',1,1.76,0,0.16,2.22,'Card'),
(120275,202,'2025-06-13','Lunch','Drive-Thru','Chicken Sandwich Combo','Gluten-Free Bun',1,9.22,0,0.74,10.96,'GiftCard'),
(120276,403,'2025-05-28','Lunch','Takeout','Chicken Sandwich','Add Bacon',1,5.46,0,0.42,6.88,'Card'),
(120277,402,'2025-04-26','Breakfast','Drive-Thru','Pancake Platter','None',1,4.79,0,0.29,5.08,'Card'),
(120278,102,'2025-07-11','Dinner','Delivery','Chicken Sandwich Combo','None',1,9.02,0,0.65,9.67,'Card'),
(120279,501,'2025-07-12','Lunch','Takeout','Cheeseburger','None',1,4.36,0,0.28,4.64,'Card'),
(120280,201,'2025-05-18','Lunch','Drive-Thru','Chicken Sandwich','None',1,5.43,0,0.35,5.78,'Card'),
(120281,101,'2025-07-19','Dinner','Drive-Thru','Chicken Sandwich','None',1,5.63,0,0.45,6.08,'Card'),
(120282,501,'2025-04-20','Dinner','Delivery','Cheeseburger Combo','None',1,9.28,0,0.67,9.95,'Card'),
(120283,101,'2025-04-16','Lunch','Dine-In','Spicy Chicken Combo','None',1,8.67,0,0.56,9.23,'Card'),
(120284,101,'2025-04-18','Lunch','Takeout','Chicken Nuggets (10pc),','None',1,5.7,0.57,0.49,5.62,'Cash'),
(120285,202,'2025-06-20','Lunch','Delivery','Spicy Chicken Sandwich','Add Jalapenos',1,4.89,0.79,0.38,4.88,'Card'),
(120286,103,'2025-06-20','Lunch','Takeout','Chicken Sandwich Combo','Add Bacon',1,8.91,0,0.84,10.75,'GiftCard'),
(120287,103,'2025-05-14','Afternoon','Takeout','Soft Drink (Medium),','None',4,1.79,0,0.5,7.66,'Cash'),
(120288,102,'2025-04-24','Morning','Drive-Thru','Bottled Water','None',1,1.46,0,0.13,1.89,'MobilePay'),
(120289,501,'2025-05-29','Morning','Dine-In','Coffee','Light Ice',1,1.77,0,0.14,1.91,'Card'),
(120290,401,'2025-08-08','Dinner','Drive-Thru','Double Cheeseburger Combo','None',2,9.89,0,1.78,21.56,'GiftCard'),
(120291,501,'2025-06-22','Dinner','Drive-Thru','Chicken Sandwich Combo','No Pickles',1,8.74,0,0.52,9.26,'Card'),
(120292,401,'2025-05-21','Lunch','Takeout','Double Cheeseburger Combo','None',1,9.7,0,0.58,10.28,'MobilePay'),
(120293,403,'2025-05-02','Breakfast','Delivery','Sausage Biscuit','None',1,3.25,0,0.24,3.49,'Card'),
(120294,103,'2025-07-25','Dinner','Takeout','Chicken Sandwich Combo','Add Jalapenos',1,9.17,0,0.91,10.48,'Card'),
(120295,103,'2025-07-22','Breakfast','Dine-In','Coffee','Extra Ice',1,1.75,0,0.12,1.87,'Not Registered'),
(120296,402,'2025-08-09','Lunch','Takeout','Cheeseburger Combo','None',1,8.94,0,0.85,9.79,'Card'),
(120297,101,'2025-08-05','Afternoon','Delivery','French Fries','Large Size',1,2.73,0,0.23,3.56,'MobilePay'),
(120298,103,'2025-05-06','Late Night','Dine-In','Spicy Chicken Sandwich','Extra Cheese',1,5.95,0,0.42,6.87,'Card'),
(120299,403,'2025-07-14','Morning','Delivery','Chicken Nuggets (6pc),','None',2,3.9,0,0.58,8.38,'Card'),
(120300,103,'2025-06-07','Afternoon','Takeout','Brownie','None',1,1.78,0,0.12,1.9,'MobilePay'),
(120301,401,'2025-06-28','Lunch','Delivery','Chicken Sandwich','None',1,5.18,0,0.49,5.67,'Card'),
(120302,501,'2025-08-06','Afternoon','Drive-Thru','Soft Drink (Medium),','No Ice',1,1.8,0,0.16,1.96,'MobilePay'),
(120303,101,'2025-07-02','Dinner','Dine-In','Veggie Burger','No Sauce',1,5.45,0,0.33,5.78,'Cash'),
(120304,103,'2025-04-21','Afternoon','Takeout','Onion Rings','Small Size',1,3.13,0,0.21,3.04,'Card'),
(120305,102,'2025-08-06','Lunch','Dine-In','Cheeseburger Combo','None',1,8.55,0,0.56,9.11,'Card'),
(120306,402,'2025-04-21','Lunch','Drive-Thru','Chicken Sandwich Combo','None',1,9.63,1.44,0.49,8.68,'Cash'),
(120307,202,'2025-05-03','Lunch','Dine-In','Double Cheeseburger','None',1,5.49,0,0.52,6.01,'Card'),
(120308,201,'2025-07-01','Breakfast','Delivery','Egg Muffin','None',1,3.38,0.88,0.3,3.8,'Card'),
(120309,501,'2025-06-28','Lunch','Delivery','Soft Drink (Medium),','Sugar-Free Syrup',1,1.72,0.4,0.11,1.73,'Card'),
(120310,201,'2025-04-17','Breakfast','Takeout','Soft Drink (Small),','None',2,1.52,0,0.27,3.31,'Card'),
(120311,301,'2025-07-24','Afternoon','Drive-Thru','French Fries','No Sauce',1,2.95,0,0.25,3.2,'Cash'),
(120312,201,'2025-05-26','Dinner','Delivery','Spicy Chicken Combo','None',1,9.7,0,0.87,10.57,'Card'),
(120313,202,'2025-08-01','Late Night','Drive-Thru','Chicken Sandwich','No Pickles',1,5.69,0,0.34,6.03,'Cash'),
(120314,402,'2025-05-14','Morning','Drive-Thru','Ice Cream Cone','Cinnamon',3,1.79,0,0.37,6.04,'Cash'),
(120315,101,'2025-05-31','Lunch','Takeout','Double Cheeseburger','None',1,5.75,0,0.49,6.24,'GiftCard'),
(120316,103,'2025-07-16','Lunch','Takeout','Spicy Chicken Sandwich','No Onions',1,5.9,0.3,0.39,5.99,'Card'),
(120317,401,'2025-04-17','Dinner','Takeout','Double Cheeseburger Combo','None',1,9.83,0,0.59,10.42,'Card'),
(120318,403,'2025-08-05','Afternoon','Delivery','Soft Drink (Medium),','Light Ice',2,1.77,0,0.27,3.81,'Card'),
(120319,102,'2025-06-01','Afternoon','Dine-In','Bottled Water','Oat Milk',2,1.43,0,0.34,4.6,'Card'),
(120320,501,'2025-05-08','Dinner','Takeout','Cheeseburger','None',1,4.52,0,0.34,4.86,'Card'),
(120321,501,'2025-04-22','Lunch','Dine-In','Chicken Sandwich Combo','None',1,9.29,0,0.7,9.99,'Card'),
(120322,102,'2025-05-25','Late Night','Drive-Thru','Spicy Chicken Sandwich','None',1,5.33,0,0.43,5.76,'Card'),
(120323,402,'2025-05-06','Lunch','Drive-Thru','Double Cheeseburger','None',1,6.61,0,0.59,7.2,'Card'),
(120324,403,'2025-04-23','Afternoon','Delivery','French Fries','No Sauce',2,2.35,0,0.34,5.04,'Card'),
(120325,103,'2025-08-08','Lunch','Dine-In','Double Cheeseburger','None',1,5.23,0,0.38,5.61,'Card'),
(120326,201,'2025-05-20','Late Night','Dine-In','Spicy Chicken Sandwich','Spicy',1,6.08,0,0.4,6.48,'Cash'),
(120327,202,'2025-05-13','Dinner','Drive-Thru','Cheeseburger','None',3,4.75,0,1.07,15.32,'Card'),
(120328,402,'2025-06-01','Breakfast','None','Coffee','None',1,2.01,0,0.15,2.16,'Not Registered'),
(120329,101,'2025-07-06','Afternoon','Drive-Thru','Soft Drink (Medium),','Sugar-Free Syrup',1,1.79,0,0.14,2.23,'Not Registered'),
(120330,501,'2025-06-25','Lunch','Takeout','Soft Drink (Medium),','None',1,1.74,0,0.11,1.85,'Cash'),
(120331,401,'2025-07-02','Afternoon','Dine-In','Soft Drink (Medium),','None',2,1.67,0,0.29,4.23,'Cash'),
(120332,202,'2025-04-25','Lunch','Dine-In','Spicy Chicken Combo','None',1,9.33,0,0.89,10.22,'Card'),
(120333,102,'2025-07-22','Breakfast','Takeout','Egg Muffin','No Cheese',1,3.07,0,0.23,3.3,'MobilePay'),
(120334,102,'2025-05-25','Breakfast','Drive-Thru','Coffee','None',1,2.09,0,0.27,3.06,'Card'),
(120335,301,'2025-07-05','Breakfast','Dine-In','Egg Muffin','None',1,3.2,0,0.27,3.47,'Not Registered'),
(120336,102,'2025-05-26','Dinner','Drive-Thru','Spicy Chicken Combo','None',1,8.88,0,0.75,9.63,'Cash'),
(120337,501,'2025-05-21','Late Night','Dine-In','Cheeseburger','None',1,4.38,0,0.42,4.8,'Card'),
(120338,102,'2025-05-14','Dinner','Dine-In','Cheeseburger','None',1,4.63,0,0.42,5.05,'MobilePay'),
(120339,402,'2025-07-31','Lunch','Takeout','Chicken Sandwich','None',1,5.18,0,0.38,5.56,'Card'),
(120340,402,'2025-08-03','Afternoon','Drive-Thru','Onion Rings','None',2,2.91,0,0.44,6.26,'Card'),
(120341,402,'2025-07-19','Lunch','Dine-In','Double Cheeseburger Combo','None',2,10.11,0,1.92,22.14,'Card'),
(120342,501,'2025-06-11','Lunch','Takeout','Chicken Sandwich','Add Bacon',2,5.48,0,0.91,13.87,'MobilePay'),
(120343,403,'2025-06-03','Breakfast','Drive-Thru','Breakfast Burrito','None',1,3.61,0.72,0.21,3.1,'Cash'),
(120344,202,'2025-06-12','Breakfast','Dine-In','Coffee','Sugar-Free Syrup',1,1.8,0,0.19,2.29,'Not Registered'),
(120345,403,'2025-06-16','Breakfast','Delivery','Coffee','None',2,1.94,0,0.23,4.11,'MobilePay'),
(120346,402,'2025-06-24','Afternoon','Takeout','Milkshake','None',3,3.51,0,0.68,11.21,'Card'),
(120347,201,'2025-04-17','Lunch','Takeout','Veggie Burger','Add Jalapenos',1,4.75,0,0.49,5.64,'Card'),
(120348,102,'2025-04-18','Morning','Takeout','Chicken Nuggets (6pc),','None',1,3.56,0,0.25,3.81,'Card'),
(120349,403,'2025-06-10','Dinner','Drive-Thru','Chicken Sandwich','None',1,5.31,0,0.5,5.81,'Card'),
(120350,501,'2025-06-03','Afternoon','Takeout','Side Salad','None',1,2.91,0,0.22,3.13,'Card'),
(120351,103,'2025-07-04','Dinner','Delivery','Double Cheeseburger Combo','None',1,10.73,0,0.75,11.48,'MobilePay'),
(120352,301,'2025-06-13','Breakfast','Takeout','Sausage Biscuit','None',2,3.25,0,0.46,6.96,'MobilePay'),
(120353,402,'2025-04-11','Dinner','Drive-Thru','Veggie Burger','None',1,5.18,0.26,0.37,5.29,'MobilePay'),
(120354,501,'2025-05-27','Afternoon','Drive-Thru','Chicken Nuggets (6pc),','None',1,3.74,0,0.24,3.98,'Card'),
(120355,101,'2025-06-24','Dinner','Drive-Thru','Cheeseburger Combo','None',1,7.99,0,0.76,8.75,'Card'),
(120356,202,'2025-05-08','Breakfast','Takeout','Breakfast Burrito','None',1,3.74,0,0.36,4.1,'MobilePay'),
(120357,401,'2025-07-06','Afternoon','Takeout','Ice Cream Cone','None',2,1.61,0,0.29,3.51,'Cash'),
(120358,402,'2025-04-30','Morning','Takeout','Hash Browns','None',1,1.95,0,0.14,2.09,'Cash'),
(120359,102,'2025-06-24','Afternoon','Takeout','Milkshake','Light Ice',1,3.71,0,0.22,3.93,'Card'),
(120360,103,'2025-08-03','Lunch','Delivery','Cheeseburger','None',1,4.66,0.47,0.29,4.48,'GiftCard'),
(120361,202,'2025-05-12','Morning','Takeout','Coffee','None',1,2.2,0,0.15,2.35,'MobilePay'),
(120362,501,'2025-06-03','Afternoon','Delivery','Onion Rings','Large Size',2,3.11,0,0.67,8.09,'MobilePay'),
(120363,403,'2025-06-27','Dinner','Dine-In','Chicken Sandwich','None',1,5.54,0,0.4,5.94,'MobilePay'),
(120364,402,'2025-08-04','Dinner','Drive-Thru','Cheeseburger','None',1,4.72,0.24,0.29,4.77,'Card'),
(120365,301,'2025-07-22','Breakfast','Takeout','Breakfast Burrito','No Cheese',1,3.64,0.18,0.33,3.79,'Card'),
(120366,102,'2025-04-14','Dinner','Delivery','Iced Tea','None',1,1.92,0,0.14,2.06,'Card'),
(120367,403,'2025-05-04','Breakfast','Drive-Thru','Sausage Biscuit','None',1,3.04,0,0.23,3.27,'Card'),
(120368,401,'2025-08-01','Morning','Dine-In','Soft Drink (Small),','None',1,1.55,0,0.1,1.65,'GiftCard'),
(120369,103,'2025-07-15','Breakfast','Drive-Thru','Hash Browns','Cinnamon',1,1.74,0,0.14,1.98,'Card'),
(120370,401,'2025-06-05','Late Night','Delivery','French Fries','None',3,2.65,0.4,0.49,8.04,'Card'),
(120371,202,'2025-07-28','Afternoon','Takeout','Soft Drink (Medium),','None',1,1.78,0,0.17,1.95,'Card'),
(120372,401,'2025-07-25','Dinner','Drive-Thru','Cheeseburger','None',1,4.97,0,0.35,5.32,'Card'),
(120373,402,'2025-05-14','Afternoon','Takeout','Soft Drink (Medium),','Sugar-Free Syrup',1,1.82,0,0.17,2.29,'MobilePay'),
(120374,301,'2025-05-07','Lunch','Delivery','Cheeseburger Combo','None',1,9.57,0.96,0.62,9.23,'Card'),
(120375,102,'2025-08-07','Lunch','Delivery','Cheeseburger Combo','None',1,8.11,0,0.49,8.6,'Card'),
(120376,102,'2025-07-14','Afternoon','Drive-Thru','Chicken Nuggets (10pc),','None',3,5.28,0,1.03,16.87,'Cash'),
(120377,401,'2025-05-22','Dinner','Delivery','Spicy Chicken Sandwich','Add Jalapenos',1,5.71,0,0.4,6.51,'Card'),
(120378,201,'2025-07-08','Lunch','Takeout','Chicken Sandwich Combo','No Onions',1,10.08,0,0.91,10.99,'MobilePay'),
(120379,501,'2025-08-02','Dinner','Dine-In','Spicy Chicken Combo','None',1,8.89,0,0.58,9.47,'Card'),
(120380,501,'2025-07-10','Morning','Dine-In','Latte','None',1,3.03,0,0.24,3.57,'MobilePay'),
(120381,103,'2025-08-04','Afternoon','Dine-In','Chicken Nuggets (6pc),','None',2,3.59,0,0.61,7.79,'MobilePay'),
(120382,103,'2025-05-28','Morning','Drive-Thru','Chicken Nuggets (6pc),','None',2,3.21,0,0.42,6.84,'MobilePay'),
(120383,201,'2025-07-13','Dinner','Dine-In','Cheeseburger Combo','None',1,8.23,0,0.53,8.76,'Card'),
(120384,103,'2025-05-10','Lunch','Dine-In','Chicken Sandwich Combo','No Pickles',1,8.61,0,0.62,9.23,'GiftCard'),
(120385,102,'2025-07-10','Lunch','Drive-Thru','Soft Drink (Medium),','None',1,1.75,0,0.13,1.88,'Card'),
(120386,401,'2025-07-05','Dinner','Drive-Thru','Cheeseburger Combo','None',1,8.66,0,0.56,9.22,'Card'),
(120387,403,'2025-06-12','Dinner','Delivery','Cheeseburger Combo','None',1,9.43,0,0.71,10.14,'Card'),
(120388,103,'2025-05-14','Dinner','Takeout','Double Cheeseburger','None',1,6.14,0,0.46,6.6,'MobilePay'),
(120389,501,'2025-08-07','Morning','Drive-Thru','Egg Muffin','None',1,3.1,0,0.23,3.33,'Card'),
(120390,403,'2025-04-14','Lunch','Takeout','Chicken Sandwich','Gluten-Free Bun',1,5.06,0,0.42,6.48,'Card'),
(120391,201,'2025-06-18','Lunch','Drive-Thru','Cheeseburger Combo','None',1,8.74,0,0.57,9.31,'Card'),
(120392,401,'2025-05-07','Dinner','Delivery','Onion Rings','None',4,2.77,0,0.66,11.74,'Card'),
(120393,103,'2025-05-30','Late Night','Takeout','Milkshake','None',1,4.6,0,0.39,4.99,'Cash'),
(120394,202,'2025-04-13','Dinner','Drive-Thru','Double Cheeseburger Combo','None',1,10.58,0,0.85,11.43,'Cash'),
(120395,402,'2025-07-21','Breakfast','Dine-In','Coffee','Sugar-Free Syrup',1,1.8,0,0.2,2.3,'Card'),
(120396,102,'2025-07-04','Morning','Delivery','Soft Drink (Medium),','Light Ice',1,1.6,0,0.15,1.75,'MobilePay'),
(120397,102,'2025-08-06','Dinner','Dine-In','Onion Rings','None',1,3.52,0,0.25,3.07,'Card'),
(120398,501,'2025-06-29','Late Night','Dine-In','Chicken Sandwich','None',1,5.35,0,0.45,5.8,'Cash'),
(120399,101,'2025-07-20','Dinner','Dine-In','Spicy Chicken Combo','None',1,9.91,0,0.74,10.65,'MobilePay'),
(120400,201,'2025-04-18','Lunch','Takeout','Double Cheeseburger Combo','None',1,9.19,0,0.78,9.97,'Card'),
(120401,103,'2025-06-03','Dinner','Takeout','Cheeseburger Combo','None',1,8.19,0,0.59,8.78,'MobilePay'),
(120402,102,'2025-06-18','Lunch','Drive-Thru','Spicy Chicken Sandwich','None',1,5.64,0,0.54,6.58,'Cash'),
(120403,202,'2025-05-09','Lunch','Takeout','Spicy Chicken Sandwich','No Onions',1,5.66,0,0.31,5.12,'Not Registered'),
(120404,402,'2025-04-20','Afternoon','Delivery','Side Salad','None',1,2.74,0,0.23,2.97,'Card'),
(120405,201,'2025-07-14','Dinner','Delivery','Chicken Sandwich Combo','Add Bacon',1,9.3,0,0.72,11.02,'Card'),
(120406,402,'2025-04-21','Lunch','Dine-In','French Fries','None',1,2.34,0,0.2,2.54,'Cash'),
(120407,202,'2025-06-19','Breakfast','Drive-Thru','Bottled Water','Light Ice',1,1.43,0,0.12,1.55,'MobilePay'),
(120408,102,'2025-04-11','Lunch','Takeout','Spicy Chicken Combo','None',1,9.35,0,0.75,10.1,'Card'),
(120409,401,'2025-04-25','Late Night','Drive-Thru','Onion Rings','None',2,3.29,0,0.46,7.04,'Cash'),
(120410,402,'2025-07-14','Lunch','Drive-Thru','Double Cheeseburger','None',2,6.04,0.6,0.92,12.4,'Card'),
(120411,301,'2025-05-03','Dinner','Delivery','French Fries','Large Size',2,2.32,0,0.53,6.37,'MobilePay'),
(120412,501,'2025-07-27','Dinner','Dine-In','Chicken Sandwich','Gluten-Free Bun',1,4.83,0,0.52,6.35,'Card'),
(120413,201,'2025-06-17','Lunch','Drive-Thru','Cheeseburger Combo','None',1,9.13,0,0.73,9.86,'Card'),
(120414,103,'2025-06-18','Dinner','Drive-Thru','Spicy Chicken Combo','None',1,9.46,0,0.9,10.36,'Card'),
(120415,101,'2025-08-05','Lunch','Dine-In','Spicy Chicken Combo','None',1,8.92,0,0.76,9.68,'Cash'),
(120416,301,'2025-07-05','Breakfast','Dine-In','Pancake Platter','Cinnamon',1,5.51,0,0.48,6.09,'Card'),
(120417,103,'2025-06-01','Lunch','Takeout','Spicy Chicken Sandwich','No Pickles',1,5.68,0,0.43,6.11,'Card'),
(120418,101,'2025-07-07','Dinner','Drive-Thru','Cheeseburger Combo','None',1,9.08,0,0.66,9.74,'MobilePay'),
(120419,403,'2025-07-11','Dinner','Delivery','Chicken Sandwich Combo','None',1,9.02,0,0.59,9.61,'MobilePay'),
(120420,401,'2025-07-30','Dinner','Drive-Thru','Cheeseburger Combo','None',1,9.52,0,0.9,10.42,'Card'),
(120421,402,'2025-06-17','Dinner','Dine-In','Double Cheeseburger','None',2,6.47,0,0.94,13.88,'Cash'),
(120422,102,'2025-06-18','Afternoon','Takeout','Chicken Nuggets (10pc),','None',4,4.91,0,1.77,21.41,'Card'),
(120423,202,'2025-07-13','Dinner','Takeout','Veggie Burger','Extra Sauce',1,5.58,0,0.52,6.35,'Card'),
(120424,103,'2025-06-12','Lunch','Dine-In','Cheeseburger','None',1,4.71,0,0.4,5.11,'Cash'),
(120425,102,'2025-05-11','Dinner','Drive-Thru','Chicken Sandwich Combo','None',1,9.67,0,0.92,10.59,'Cash'),
(120426,101,'2025-04-12','Breakfast','Takeout','Latte','Oat Milk',1,3,0,0.3,4,'Card'),
(120427,401,'2025-06-03','Breakfast','Dine-In','Breakfast Burrito','None',1,3.91,0,0.27,4.18,'GiftCard'),
(120428,101,'2025-07-02','Dinner','Dine-In','Spicy Chicken Sandwich','Extra Cheese',1,6.05,0,0.47,7.02,'MobilePay'),
(120429,402,'2025-08-01','Lunch','Delivery','Cheeseburger','None',1,3.9,0,0.37,4.27,'MobilePay'),
(120430,403,'2025-07-22','Morning','Drive-Thru','Bottled Water','Sugar-Free Syrup',1,1.34,0,0.12,1.76,'Card'),
(120431,202,'2025-06-22','Dinner','Dine-In','Spicy Chicken Sandwich','None',1,4.86,0.24,0.39,5.01,'MobilePay'),
(120432,201,'2025-04-29','Afternoon','Drive-Thru','Ice Cream Cone','Chocolate Topping',1,1.61,0,0.17,2.28,'Cash'),
(120433,101,'2025-08-09','Afternoon','Takeout','Milkshake','Cinnamon',1,4.23,0,0.28,4.61,'MobilePay'),
(120434,401,'2025-06-25','Dinner','Drive-Thru','Cheeseburger','None',2,4.99,0,0.72,10.7,'Cash'),
(120435,501,'2025-04-28','Afternoon','Drive-Thru','Chicken Nuggets (6pc),','None',2,3.76,0,0.45,7.97,'GiftCard'),
(120436,402,'2025-07-16','Breakfast','Drive-Thru','Egg Muffin','Extra Egg',1,3.65,0,0.34,4.99,'Cash'),
(120437,403,'2025-05-14','Afternoon','Dine-In','Milkshake','None',1,3.53,0,0.32,4.55,'Card'),
(120438,201,'2025-04-14','Breakfast','Takeout','Sausage Biscuit','Extra Egg',3,2.61,0,0.92,11.75,'Card'),
(120439,102,'2025-06-15','Breakfast','Drive-Thru','Hash Browns','None',1,1.88,0,0.11,1.99,'Card'),
(120440,402,'2025-05-21','Dinner','Dine-In','Cheeseburger','None',2,4.62,0.92,0.5,8.82,'Card'),
(120441,101,'2025-07-03','Lunch','Delivery','Onion Rings','Large Size',1,3.13,0,0.32,4.05,'Card'),
(120442,402,'2025-05-26','Lunch','Dine-In','Chicken Sandwich Combo','Spicy',1,7.96,0,0.64,8.6,'Cash'),
(120443,101,'2025-05-27','Breakfast','Drive-Thru','Bottled Water','Light Ice',1,1.43,0,0.11,1.54,'Not Registered'),
(120444,403,'2025-05-30','Dinner','Dine-In','French Fries','No Sauce',1,2.27,0,0.2,2.47,'Card'),
(120445,401,'2025-07-27','Lunch','Drive-Thru','Chicken Nuggets (10pc),','None',2,5.21,0,0.76,11.18,'Card'),
